time,total_energy,mean_state,active_cells
0,8222.967850924479,0.5018901276199023,16368
1,6666.540012855993,0.40689331133154255,14715
2,5276.790091487717,0.3220697077324046,13076
3,4046.4737254903866,0.24697715609682536,11473
4,2977.6370183107674,0.1817405406683818,9864
5,2450.2925529176146,0.149553988825538,9486
6,3364.1074161601828,0.20532882178712053,15260
7,2114.5897634778435,0.12906431661852072,8515
8,2032.0470126468176,0.12402630692424424,10372
9,1904.5812301797919,0.11624641297484081,9613
10,1547.2451814951376,0.09443635140961533,8125
11,1520.4770489818695,0.09280255425914731,7261
12,1338.6044276601117,0.08170193039917674,5761
13,1398.6077717086714,0.08536424387870309,5431
14,1321.2025895139184,0.08063980648888662,5065
15,1344.1942583921664,0.08204310659131875,4824
16,1352.0855366947997,0.0825247519955322,4659
17,1352.7720691003108,0.08256665460817326,4347
18,1374.069000450845,0.08386651614079864,4135
19,1383.6346651927256,0.08445035798295444,3950
20,1412.9636854498856,0.08624045931700962,3850
21,1437.423234945317,0.08773335174226789,3803
22,1458.620233022399,0.08902711383193353,3777
23,1486.660974529421,0.09073858487118049,3759
24,1515.955245096004,0.09252656525244166,3709
25,1540.5127449491954,0.09402543609309054,3640
26,1559.5267815177833,0.09518596078599752,3554
27,1580.615850891778,0.09647313543040638,3505
28,1607.7612568269608,0.09812995952312993,3480
29,1642.0887331824242,0.10022514240615382,3481
30,1687.2448196636094,0.10298125120017147,3560
31,1729.3700011234912,0.10555236823263496,3665
32,1767.1864686336428,0.10786050223594011,3721
33,1801.176568664513,0.10993509330227741,3755
34,1831.9524172477588,0.11181350202928216,3808
35,1856.8411922446464,0.11333259230008828,3845
36,1867.2265540655055,0.1139664644815372,3901
37,1884.7486462637366,0.11503592811668314,3824
38,1900.522417785176,0.115998682726146,3806
39,1922.1346999291516,0.11731779174372263,3825
40,1954.9603103314096,0.11932130800362607,3846
41,1999.416055027744,0.12203467132737696,3933
42,2049.240634533054,0.1250757223225741,4029
43,2077.577783529796,0.12680528463926977,4142
44,2111.195858995131,0.12885716912812079,4142
45,2137.5680767757326,0.13046680156101884,4169
46,2159.1987367672323,0.13178703227339064,4179
47,2178.444917908806,0.1329617259465824,4165
48,2197.0883667102166,0.13409963175721537,4163
49,2217.653425383832,0.13535482332664991,4197
50,2244.1550532819265,0.13697235432628946,4225
51,2274.8859221161756,0.1388480177072861,4259
52,2308.322981170332,0.140888853831197,4341
53,2345.3056645275956,0.14314609768845188,4477
54,2378.2754933848964,0.145158416344293,4594
55,2405.3246731579766,0.14680936725817728,4686
56,2433.6284856834295,0.148536894878139,4737
57,2466.3487182651916,0.1505339793863032,4736
58,2498.9563820842627,0.15252419324244768,4730
59,2527.008115261068,0.15423633515997728,4711
60,2555.5547729708273,0.15597868487370772,4714
61,2583.6430681922943,0.1576930583613461,4665
62,2609.6805812510397,0.15928226203924803,4641
63,2640.1666241976654,0.16114298243393954,4601
64,2673.800836046638,0.16319585180948717,4648
65,2709.7101528233725,0.16538758256978592,4708
66,2739.8033876283657,0.16722432785817662,4777
67,2752.7538817978934,0.16801476329332846,4868
68,2772.424555062914,0.16921536590960168,4867
69,2790.942157593367,0.17034559067342328,4885
70,2807.219002512787,0.1713390504463371,4901
71,2820.0395041256934,0.17212155176548422,4936
72,2837.0946149213814,0.1731625131177601,4924
73,2862.6394700698193,0.17472164734312862,4942
74,2894.8054626640596,0.17668490372705442,4978
75,2929.6212554108247,0.17880989107732084,5031
76,2970.985211347566,0.18133454659103795,5111
77,3009.14840041371,0.18366384279868836,5222
78,3033.8517067557787,0.18517161296116813,5312
79,3048.5371077410946,0.1860679387049008,5317
80,3062.8700623015307,0.18694275282602116,5285
81,3073.1378286207964,0.18756944754765603,5219
82,3082.5705766711267,0.18814517679877482,5150
83,3098.1175555357645,0.18909408908299344,5088
84,3121.314420695425,0.1905099133725235,5043
85,3152.9729289399966,0.19244219536987284,5025
86,3189.034721979718,0.1946432325427074,5069
87,3224.2789349476757,0.19679436858811497,5127
88,3252.314842768296,0.19850554460255712,5178
89,3275.199690492228,0.19990232485914478,5214
90,3293.7327461180907,0.20103349280505925,5223
91,3309.8987334906506,0.20202018637027896,5224
92,3328.55440532473,0.20315883821562072,5217
93,3335.9607634089148,0.2036108864385324,5216
94,3347.1970956438527,0.20429669773216874,5162
95,3351.0006225341504,0.20452884659021914,5042
96,3360.694781005417,0.20512053106722516,4976
97,3370.8679009821362,0.2057414490345542,4909
98,3381.7365845891773,0.20640482083674178,4860
99,3391.233998084796,0.20698449695341772,4860
100,3400.6496163121674,0.20755918068311568,4872
101,3402.501285177464,0.20767219758163233,4885
102,3406.103309876998,0.20789204772198475,4872
103,3416.7602513210422,0.20854249580816908,4846
104,3394.66015863658,0.20719361319803345,4745
105,3404.625950826809,0.2078018768815191,4671
106,3415.5709188172295,0.20846990471296567,4646
107,3398.353141640159,0.20741901499268547,4565
108,3411.5643017392,0.2082253602135742,4557
109,3404.9373132190744,0.2078208809337814,4481
110,3418.249700187651,0.20863340455246893,4467
111,3412.0889238435966,0.20825738060568827,4424
112,3419.236674407848,0.20869364467821339,4405
113,3418.60194950805,0.20865490414477844,4360
114,3420.6371267116974,0.2087791215033995,4330
115,3422.412123066722,0.2088874586832716,4315
116,3423.4811939972633,0.20895270959455953,4306
117,3423.5963531860007,0.20895973835363774,4294
118,3424.2249996195187,0.20899810788693352,4283
119,3424.913690361798,0.20904014223399647,4271
120,3384.2534927324978,0.20655844071853624,4212
121,3386.6394278891976,0.20670406664362778,4247
122,3392.3246503832265,0.20705106508686685,4257
123,3402.7095485765926,0.2076849089707393,4256
124,3411.393858787213,0.20821495720136798,4261
125,3420.596188890844,0.20877662285710719,4273
126,3423.7794021311574,0.20897091077460678,4270
127,3428.4906121611193,0.20925846021491207,4276
128,3434.2215909986053,0.20960825140372347,4256
129,3440.486455668516,0.20999062839773658,4243
130,3448.386617342494,0.21047281599990808,4228
131,3458.5546855353637,0.21109342563082054,4207
132,3460.706422913831,0.21122475725792425,4220
133,3467.703031484179,0.21165179635523554,4203
134,3466.477879094683,0.21157701898771258,4186
135,3468.5186405474133,0.21170157718184895,4181
136,3466.028101967945,0.21154956677050446,4170
137,3467.5943176328938,0.2116451609883358,4152
138,3469.0139709149166,0.2117318097482249,4146
139,3468.171008353782,0.21168035939659313,4143
140,3467.846272108895,0.21166053906914642,4141
141,3467.5755626526184,0.21164401627518423,4135
142,3465.7801753755894,0.2115344345322015,4133
143,3465.9612692657247,0.21154548762608183,4122
144,3463.4710011351735,0.21139349372162924,4120
145,3464.726523554244,0.2114701247286526,4117
146,3463.8655818335296,0.21141757701620664,4118
147,3467.4172200954963,0.21163435181246926,4124
148,3469.981468470004,0.21179086111267115,4123
149,3469.75274697542,0.21177690106051147,4123
150,3472.2066306662214,0.21192667423499886,4133
151,3473.921714343744,0.21203135463523828,4142
152,3477.2706740633516,0.2122357589149995,4135
153,3478.933079387947,0.212337224083737,4134
154,3481.8669560071294,0.21251629370160702,4140
155,3483.337777671163,0.2126060655316872,4140
156,3488.532680663238,0.21292313724751208,4149
157,3492.543822049371,0.21316795788875556,4153
158,3491.297804939427,0.21309190703975994,4140
159,3492.4908912166643,0.21316472724711086,4132
160,3497.487831876406,0.21346971630105016,4126
161,3502.893029025684,0.2137996233536184,4126
162,3502.8071197951385,0.21379437987030875,4142
163,3502.9034616014237,0.21380026010750877,4135
164,3509.3185586586096,0.21419180655875303,4141
165,3507.303142816457,0.2140687953379185,4133
166,3512.513706344742,0.21438682289701794,4129
167,3512.863952828503,0.2144082002458803,4127
168,3512.494456674793,0.21438564799040485,4127
169,3515.6811879815373,0.21458015063363875,4124
170,3513.051551812303,0.21441965037916888,4110
171,3513.589289054227,0.21445247125575115,4107
172,3517.5848307252377,0.21469633976594468,4103
173,3512.852317515566,0.21440749008273718,4103
174,3512.629245094504,0.2143938748226626,4091
175,3515.6978687204405,0.21458116874514407,4070
176,3513.115812407468,0.2144235725346355,4089
177,3517.650223494523,0.21470033102383562,4089
178,3517.289624504519,0.21467832180813715,4082
179,3518.0118945709487,0.21472240567449638,4078
180,3515.620964374298,0.21457647487636097,4069
181,3519.28836342508,0.21480031515045656,4080
182,3515.9335166298365,0.21459555155211404,4078
183,3517.3515834305476,0.21468210348086839,4075
184,3517.781332837164,0.21470833330304956,4078
185,3519.8327569139165,0.21483354229210916,4074
186,3518.4122886450714,0.21474684378937203,4069
187,3521.4587131746075,0.2149327827865361,4083
188,3521.8232741123375,0.2149550338203331,4079
189,3522.2208458624177,0.21497929967421983,4086
190,3521.6361917953423,0.21494361522188368,4089
191,3517.2161151067785,0.2146738351505602,4081
192,3520.490390813951,0.21487368107995305,4086
193,3516.7568991161893,0.2146458068308221,4076
194,3521.346863195023,0.2149259560055556,4076
195,3521.7820570207673,0.21495251812870894,4077
196,3516.823656655087,0.21464988138763957,4077
197,3515.7039965300455,0.21458154275696079,4077
198,3517.018476021487,0.21466177221810834,4085
199,3518.989040792979,0.21478204594683709,4085
200,3520.0095068554206,0.21484433025240604,4090
201,3522.5963286862684,0.21500221732704275,4100
202,3525.1654298088233,0.21515902281547994,4090
203,3528.962361556254,0.21539076913795496,4095
204,3530.570954438158,0.2154889498558446,4096
205,3535.464092326244,0.21578760329139673,4100
206,3538.5265585210027,0.21597452139410417,4104
207,3536.097783058013,0.21582628070422444,4088
208,3537.891880562372,0.21593578372573072,4089
209,3535.2962809284095,0.21577736089650937,4084
210,3533.562384504378,0.21567153225734728,4077
211,3534.625465156038,0.2157364175510277,4079
212,3537.6214316942023,0.21591927683680434,4076
213,3533.0569665858466,0.21564068399571817,4084
214,3532.8376224770204,0.21562729629376345,4077
215,3530.987276351281,0.21551436012886235,4074
216,3534.536495004004,0.21573098724389672,4092
217,3533.6199337876164,0.21567504478684182,4084
218,3530.815907761809,0.2155039006202276,4077
219,3534.2095633415174,0.2157110329187938,4077
220,3535.754797993223,0.21580534655720354,4083
221,3534.082596773199,0.21570328349445794,4091
222,3533.9035233089544,0.21569235371758755,4092
223,3529.726959094224,0.21543743646815333,4090
224,3532.9601813361865,0.21563477669288247,4086
225,3532.1709227235856,0.21558660417014072,4085
226,3537.0684503576153,0.21588552553452242,4079
227,3539.343694032173,0.21602439538770588,4069
228,3542.564421496466,0.21622097299172766,4062
229,3541.6034503041665,0.2161623199648539,4065
230,3546.428917707682,0.21645684312180677,4057
231,3544.565538116208,0.21634311145728807,4053
232,3545.851606871458,0.216421606864713,4042
233,3544.8916664735916,0.21636301675253855,4038
234,3547.9942340018492,0.21655238244640193,4036
235,3543.209662392556,0.2162603553706394,4024
236,3546.2675581487833,0.21644699451591695,4025
237,3548.5435224828316,0.216585908354665,4024
238,3543.6776957074917,0.2162889218571467,4019
239,3542.541114094203,0.21621955042078875,4022
240,3545.604334264017,0.2164065145424815,4025
241,3544.535081799604,0.21634125255124537,4027
242,3544.6370233135626,0.2163474745674782,4024
243,3546.511380542115,0.2164618762537912,4031
244,3546.9589295106534,0.21648919247501547,4028
245,3547.887192649215,0.2165458491607187,4030
246,3545.9078638037577,0.21642504051536607,4021
247,3544.8054095824978,0.216357752049713,4017
248,3548.8458117225314,0.21660435862564278,4016
249,3549.658486511344,0.2166539603583584,4011
250,3548.85672151195,0.2166050245063446,4018
251,3548.5853590699207,0.21658846185729497,4010
252,3546.216627929398,0.2164438859820189,4012
253,3548.413023602688,0.216577943335125,4011
254,3547.4409098954297,0.21651861022310973,4004
255,3546.374554861071,0.21645352507696966,4005
256,3545.105557404942,0.21637607161895397,4000
257,3549.305698138066,0.2166324278648722,4006
258,3551.5544118172256,0.2167696784556412,3999
259,3547.594175230021,0.2165279647967542,3998
260,3546.0313639056412,0.21643257836338142,3998
261,3541.6318814419787,0.21616405526379265,3989
262,3543.308763442291,0.2162664040186945,3988
263,3540.8616913784836,0.21611704659292502,3993
264,3542.076982120999,0.21619122205328364,3990
265,3542.7326738530714,0.2162312423006025,3986
266,3543.1157573942587,0.21625462386439567,3988
267,3542.9115015196085,0.21624215707517142,3986
268,3540.9911753477254,0.21612494966721957,4005
269,3545.0844449512924,0.21637478301704666,3996
270,3543.729732617292,0.21629209793806714,4001
271,3540.369963393692,0.21608703389854078,3992
272,3546.400499363996,0.21645510860375952,3996
273,3542.091519959644,0.21619210937253686,3999
274,3543.8588609518647,0.21629997930614409,3997
275,3542.518185617321,0.21621815097761968,4001
276,3541.9543552946006,0.21618373750577397,4006
277,3545.2587372832063,0.2163854209767582,4005
278,3543.589289050753,0.21628352594303912,4009
279,3540.824247987467,0.2161147612297038,3997
280,3542.2431257798034,0.2162013626574587,4005
281,3545.209945206662,0.21638244294474254,4014
282,3544.1021284086855,0.21631482717338169,4013
283,3548.515066722016,0.21658417155285742,4015
284,3552.705356604602,0.21683992655057385,4018
285,3556.684404020073,0.2170827883313033,4020
286,3556.2280629636584,0.21705493548362173,4026
287,3558.544639708441,0.21719632810720466,4029
288,3558.4859240458773,0.21719274438756575,4037
289,3559.467900450153,0.21725267947083454,4031
290,3563.3995186635384,0.21749264640280386,4030
291,3561.054908472574,0.217349542753453,4031
292,3563.745120778002,0.21751374028186046,4021
293,3559.0345096186534,0.21722622739371664,4018
294,3557.883226375398,0.21715595864107654,4019
295,3558.6729096754184,0.2172041570846813,4015
296,3551.0844956916612,0.216740997051493,4006
297,3554.0938248333446,0.21692467192586332,4003
298,3552.96106079544,0.21685553349581543,3993
299,3550.5243201625804,0.21670680665054812,3998
300,3547.0944845923696,0.2164974661006085,3996
301,3547.9479280973683,0.21654955615828664,4009
302,3546.6352987777127,0.21646943962266313,3998
303,3545.3074375629026,0.21638839340593888,3991
304,3549.3071821872527,0.21663251844404618,3993
305,3549.5209024964697,0.21664556289651304,3991
306,3547.018731878623,0.2164928425218886,3994
307,3548.503480249989,0.21658346437072687,3998
308,3548.1515453621632,0.2165619839698586,4001
309,3546.3282234671997,0.21645069723310545,3989
310,3547.3387050084657,0.21651237213186436,3991
311,3548.5191264924906,0.21658441934158268,3998
312,3552.2856026490877,0.21681430680231248,4001
313,3551.350695541039,0.2167572446008935,4006
314,3551.9047838847027,0.2167910634695253,4008
315,3550.716779112324,0.21671855341261742,4010
316,3550.0301001170333,0.21667664185284627,3999
317,3552.5203280499513,0.21682863330383004,4015
318,3556.5616860004243,0.21707529821779933,4016
319,3555.932170711891,0.21703687565380195,4021
320,3554.551485016341,0.2169526052866419,4026
321,3554.425441914714,0.21694491222623988,4021
322,3555.85857485018,0.21703238371888306,4017
323,3552.5660510749867,0.2168314240158073,4009
324,3554.2100821455383,0.21693176770907827,4015
325,3554.574077659224,0.21695398423213036,4006
326,3551.473658258448,0.21676474964956347,4003
327,3550.805701531768,0.21672398080638233,4002
328,3549.3823964974076,0.21663710916121873,4000
329,3555.4196529076567,0.2170055940495396,4008
330,3555.3926975322297,0.21700394882398863,4005
331,3549.3958179191004,0.21663792833978884,4006
332,3549.253239763107,0.21662922605975996,4017
333,3552.487348139375,0.2168266203698349,4019
334,3554.178457271982,0.21692983747997938,4019
335,3556.630418989579,0.21707949334653193,4020
336,3561.296434021864,0.2173642843030923,4026
337,3558.904788723049,0.21721830985858454,4030
338,3561.903974107596,0.21740136560715306,4033
339,3563.793315404949,0.2175166818484466,4022
340,3561.6455460847756,0.21738559241240085,4029
341,3563.590269261733,0.21750428889536944,4025
342,3562.042137971206,0.21740979846015662,4016
343,3558.2629171284248,0.2171791331255142,4011
344,3556.697226702509,0.2170835709657293,4004
345,3554.8386645124137,0.2169701333320565,4012
346,3559.939789428449,0.21728148128835748,4012
347,3557.1118528706547,0.21710887773868742,4007
348,3555.8252404074647,0.21703034914596342,4015
349,3557.6980963809656,0.2171446592029398,4011
350,3555.176153017455,0.21699073199569427,4010
351,3555.0423099022014,0.21698256286024178,4010
352,3555.058484408205,0.21698355007374298,4032
353,3557.5910766658676,0.21713812723790696,4042
354,3558.016263896672,0.21716407860697462,4028
355,3560.4940583343073,0.21731531117763106,4016
356,3559.9223623023677,0.21728041762099412,4013
357,3562.7806621758764,0.21745487440038308,4020
358,3561.34464712906,0.2173672269976233,4016
359,3561.0038589149685,0.21734642693572806,4017
360,3560.4014690194067,0.21730965997432902,4019
361,3558.408992594128,0.2171880488643877,4018
362,3556.068712531678,0.2170452095051073,4020
363,3559.4943609988923,0.2172542944945613,4022
364,3562.418388840849,0.21743276299077446,4023
365,3563.44037456847,0.2174951400493451,4025
366,3565.0297472946454,0.2175921476620267,4029
367,3563.818634160845,0.21751822718266875,4022
368,3568.0078577323266,0.21777391709792032,4025
369,3569.28883093069,0.2178521014972345,4018
370,3567.6620710617226,0.21775281195445084,4016
371,3569.895397638186,0.21788912339100255,4019
372,3566.750047629989,0.2176971464617913,4019
373,3567.9677965322007,0.21777147195631108,4019
374,3566.3132712625716,0.2176704877479597,4029
375,3568.679808994188,0.21781492974818042,4024
376,3567.0597100304453,0.21771604675478792,4018
377,3570.37486457606,0.21791838773047242,4017
378,3567.2004458102037,0.21772463658509544,4031
379,3564.4253833096686,0.21755526021177177,4024
380,3564.0887783175417,0.21753471547348277,4018
381,3567.1729252733044,0.2177229568648257,4023
382,3565.0855980857714,0.21759555652378976,4010
383,3560.8369581272395,0.21733624012007077,4000
384,3558.7256527453087,0.21720737626619316,4008
385,3560.1384084727547,0.2172936040327609,4013
386,3555.97336698487,0.21703939007476014,4003
387,3556.7359460364833,0.21708593420632832,4013
388,3559.7233164347676,0.21726826882536424,4007
389,3555.9397835841723,0.21703734030665114,3999
390,3556.586839285247,0.2170768334524687,3999
391,3557.05694203449,0.2171055262472223,3996
392,3557.542544602442,0.21713516507583264,4007
393,3561.017993103776,0.2173472896181504,4014
394,3562.2232993689504,0.2174208556743744,4017
395,3566.2531088468777,0.21766681572551744,4022
396,3564.4442652739185,0.21755641267541007,4017
397,3563.9577727800006,0.21752671953002933,4016
398,3562.6636076532536,0.21744772995930503,4011
399,3559.9291901998795,0.2172808343627856,4005
400,3557.628632595052,0.21714041946991283,4010
